Time,GeneratorId,GenerationRate
12:45:00 AM,35,0
12:45:00 AM,36,0
12:45:00 AM,37,0
12:45:00 AM,38,0
12:45:00 AM,39,0
12:45:00 AM,40,0
12:45:00 AM,41,0
12:45:00 AM,42,0
12:45:00 AM,43,0
12:45:00 AM,44,0
12:45:00 AM,45,0
12:45:00 AM,46,0
12:45:00 AM,47,0
12:45:00 AM,48,0
12:45:00 AM,49,0
12:45:00 AM,50,0
12:45:00 AM,51,0
12:45:00 AM,52,0
12:45:00 AM,53,0
12:45:00 AM,54,0
12:45:00 AM,55,0
12:45:00 AM,56,0
12:45:00 AM,57,0
12:45:00 AM,58,0
12:45:00 AM,59,0
12:45:00 AM,60,0
12:45:00 AM,61,0
12:45:00 AM,62,0
12:45:00 AM,63,0
12:45:00 AM,64,0
12:45:00 AM,65,0
12:45:00 AM,66,0
12:45:00 AM,67,0
12:45:00 AM,68,0
12:45:00 AM,69,0
12:45:00 AM,70,0
12:45:00 AM,71,0
12:45:00 AM,72,0
12:45:00 AM,73,0
12:45:00 AM,74,0
12:45:00 AM,75,0
12:45:00 AM,76,0
12:45:00 AM,77,0
12:45:00 AM,78,0
12:45:00 AM,79,0
12:45:00 AM,80,0
12:45:00 AM,81,0
12:45:00 AM,82,0
12:45:00 AM,83,0
12:45:00 AM,84,0
12:45:00 AM,85,0
12:45:00 AM,86,0
12:45:00 AM,87,0
12:45:00 AM,88,0
12:45:00 AM,89,0
12:45:00 AM,90,0
12:45:00 AM,91,0
12:45:00 AM,92,0
12:45:00 AM,93,0
12:45:00 AM,94,0
12:45:00 AM,95,0
12:45:00 AM,96,0
12:45:00 AM,97,0
12:45:00 AM,98,0
12:45:00 AM,99,0
12:45:00 AM,100,0
12:45:00 AM,101,0
12:45:00 AM,102,0
12:45:00 AM,103,0
12:45:00 AM,104,0
12:45:00 AM,105,0
12:45:00 AM,106,0
12:45:00 AM,107,0
12:45:00 AM,108,0
12:45:00 AM,109,0
12:45:00 AM,110,0
12:45:00 AM,111,0
12:45:00 AM,112,0
12:45:00 AM,113,0
12:45:00 AM,114,0
12:45:00 AM,115,0
12:45:00 AM,116,0
12:45:00 AM,117,0
12:45:00 AM,118,0
12:45:00 AM,119,0
12:45:00 AM,120,0
12:45:00 AM,121,0
12:45:00 AM,122,0
12:45:00 AM,123,0
12:45:00 AM,124,0
12:45:00 AM,125,0
12:45:00 AM,126,0
12:45:00 AM,127,0
12:45:00 AM,128,0
12:45:00 AM,129,0
12:45:00 AM,130,0
12:45:00 AM,131,0
12:45:00 AM,132,0
12:45:00 AM,133,0
12:45:00 AM,134,0
12:45:00 AM,135,0
12:45:00 AM,136,0
12:45:00 AM,137,0
12:45:00 AM,138,0
12:45:00 AM,139,0
12:45:00 AM,140,0
12:45:00 AM,141,0
12:45:00 AM,142,0
12:45:00 AM,143,0
12:45:00 AM,144,0
12:45:00 AM,145,0
12:45:00 AM,146,0
12:45:00 AM,147,0
12:45:00 AM,148,0
12:45:00 AM,149,0
12:45:00 AM,150,0
12:45:00 AM,151,0
12:45:00 AM,152,0
12:45:00 AM,153,0
12:45:00 AM,154,0
12:45:00 AM,155,0
12:45:00 AM,156,0
12:45:00 AM,157,0
12:45:00 AM,158,0
12:45:00 AM,159,0
12:45:00 AM,160,0
12:45:00 AM,161,0
12:45:00 AM,162,0
12:45:00 AM,163,0
12:45:00 AM,164,0
12:45:00 AM,165,0
12:45:00 AM,166,0
12:45:00 AM,167,0
12:45:00 AM,168,0
12:45:00 AM,169,0
12:45:00 AM,170,0
12:45:00 AM,171,0
12:45:00 AM,172,0
12:45:00 AM,173,0
12:45:00 AM,174,0
12:45:00 AM,175,0
12:45:00 AM,176,0
12:45:00 AM,177,0
12:45:00 AM,178,0
12:45:00 AM,179,0
12:45:00 AM,180,0
